modality_pair,m1_name,m2_name,comparison,task_tag,n_questions,model,S_m1,S_m2,C12,C12_ci_lo,C12_ci_hi,D,D_ci_lo,D_ci_hi,S_target,S_reference
image + plain_text,image,plain_text,S_plain_text - S_image,Understanding,116,Gemma3-4B,0.25838200308109327,0.3958415566303486,-0.11652954972965353,-0.2023224890728704,-0.006518492880669746,0.13745955354925532,-0.16531249669790815,0.4649255341444011,0.3958415566303486,0.25838200308109327
image + plain_text,image,plain_text,S_plain_text - S_image,Understanding,116,Gemma3-27B,0.3704234284374748,0.3966557022540069,-0.14807510166303967,-0.23335008259156406,-0.03310344838123818,0.026232273816532148,-0.15983878478724145,0.21352886929543674,0.3966557022540069,0.3704234284374748
image + plain_text,image,plain_text,S_plain_text - S_image,Understanding,116,GPT-4o-mini,0.2790214028970958,0.5369673341130304,-0.3476769730556974,-0.4368686906918618,-0.23149966621904924,0.2579459312159346,0.08479483811566972,0.43571816930118595,0.5369673341130304,0.2790214028970958
image + plain_text,image,plain_text,S_plain_text - S_image,Understanding,116,Qwen3-VL-8B,0.3197390161955165,0.509605512330409,-0.25261381966852287,-0.3424049211352977,-0.13853210208125302,0.18986649613489248,0.0392070876778492,0.35013849690849663,0.509605512330409,0.3197390161955165
image + plain_text,image,plain_text,S_plain_text - S_image,Understanding,116,Qwen3-VL-30B,0.3483850822579192,0.4823271559880638,-0.23404362664722728,-0.3267368435542376,-0.11422540214846927,0.1339420737301446,-0.012653040148836834,0.28354207872600445,0.4823271559880638,0.3483850822579192
image + table,image,table,S_table - S_image,Locating,144,Gemma3-4B,0.09462790848431801,0.5429670322816036,-0.0066794020073764546,-0.035197833306424585,0.06164908849558579,0.4483391237972856,-0.28611665359102806,1.3935171360026863,0.5429670322816036,0.09462790848431801
image + table,image,table,S_table - S_image,Locating,144,Gemma3-27B,0.36689235324291186,0.4852587841823211,0.024450510079701324,-0.027585433967818505,0.11715500555745059,0.11836643093940924,-0.2567427424880384,0.5247227556362949,0.4852587841823211,0.36689235324291186
image + table,image,table,S_table - S_image,Locating,144,GPT-4o-mini,0.5138784918864965,0.42159681457036546,0.28617406992118655,0.23856948911206527,0.37670929460143016,-0.09228167731613102,-0.1902544073221651,-0.005322422881789464,0.42159681457036546,0.5138784918864965
image + table,image,table,S_table - S_image,Locating,144,Qwen3-VL-8B,0.4365294185352817,0.5073644847959313,0.021346082155460938,-0.0330982221932714,0.1162115881246564,0.07083506626064962,-0.182813335644979,0.3096342435687088,0.5073644847959313,0.4365294185352817
image + table,image,table,S_table - S_image,Locating,144,Qwen3-VL-30B,0.38895644043978417,0.5538586657938309,0.03677894878558596,-0.011915496417852852,0.12596725207726905,0.16490222535404675,-0.07199040401395165,0.4039956368759848,0.5538586657938309,0.38895644043978417
image + table,image,table,S_table - S_image,Reasoning,6,Gemma3-4B,-0.5,0.5,0.16666666666666666,0.0,0.6666666666666666,1.0,0.9999999999999999,1.0,0.5,-0.5
image + table,image,table,S_table - S_image,Reasoning,6,Gemma3-27B,0.2083333333333334,0.2083333333333334,-0.21428571428571422,-0.7142857142857142,0.7380952380952381,0.0,0.0,0.0,0.2083333333333334,0.2083333333333334
image + table,image,table,S_table - S_image,Reasoning,6,GPT-4o-mini,0.5000000000000001,0.1666666666666667,0.16666666666666669,0.0,0.6666666666666666,-0.33333333333333337,-1.0,1.0,0.1666666666666667,0.5000000000000001
image + table,image,table,S_table - S_image,Reasoning,6,Qwen3-VL-8B,0.33333333333333337,0.33333333333333337,2.7755575615628914e-17,-0.3333333333333333,0.5,0.0,-1.0,1.0,0.33333333333333337,0.33333333333333337
image + table,image,table,S_table - S_image,Reasoning,6,Qwen3-VL-30B,0.16666666666666666,0.5000000000000001,-0.16666666666666666,-0.6666666666666667,0.8333333333333335,0.3333333333333335,0.0,1.0,0.5000000000000001,0.16666666666666666
image + table,image,table,S_table - S_image,Understanding,14,Gemma3-4B,0.5,-0.5,0.14285714285714285,0.0,0.5714285714285714,-1.0,-4.0,0.0,-0.5,0.5
image + table,image,table,S_table - S_image,Understanding,14,Gemma3-27B,-0.5,-0.5,-0.07142857142857142,-0.1428571428571429,0.21428571428571427,0.0,-2.0,2.0,-0.5,-0.5
image + table,image,table,S_table - S_image,Understanding,14,GPT-4o-mini,0.250459943376439,0.38568532286953705,-0.07333387900614796,-0.2633689839572192,0.35523754956528064,0.13522537949309804,-0.667989064832607,1.3449952650472394,0.38568532286953705,0.250459943376439
image + table,image,table,S_table - S_image,Understanding,14,Qwen3-VL-8B,0.3725806969230195,0.3712269042673602,-0.13901515151515154,-0.2857142857142857,0.21812770562770556,-0.0013537926556592694,-0.5696090823909279,0.7236150049875197,0.3712269042673602,0.3725806969230195
image + table,image,table,S_table - S_image,Understanding,14,Qwen3-VL-30B,0.29310566461761595,0.4209479503295814,-0.2562229964942132,-0.3954111497613849,0.09102787456445993,0.12784228571196543,-0.43889680926497326,0.5547184035749927,0.4209479503295814,0.29310566461761595
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Locating,137,Gemma3-4B,0.18271049568049688,0.6640151890248646,-0.011449919481730537,-0.056899129006450215,0.07328182494092773,0.48130469334436765,0.1236397713213678,1.0059212940423974,0.6640151890248646,0.18271049568049688
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Locating,137,Gemma3-27B,0.2647337571450371,0.6596000558975083,0.05178222498932364,0.0036930389965448055,0.14318571046742,0.39486629875247115,0.10523740186924066,0.7327667245385155,0.6596000558975083,0.2647337571450371
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Locating,137,GPT-4o-mini,0.15325849790843954,0.8120329840117791,-0.02002699732924044,-0.09027711237404576,0.09190063133966997,0.6587744861033396,0.467959967151216,0.8645112080572583,0.8120329840117791,0.15325849790843954
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Locating,137,Qwen3-VL-8B,0.14412691189964041,0.8226010908839039,-0.027630132552170266,-0.0875810340599577,0.07538165337242887,0.6784741789842634,0.5092527414419523,0.8559624630129066,0.8226010908839039,0.14412691189964041
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Locating,137,Qwen3-VL-30B,0.10799573357287744,0.8442853755238707,-0.11807137608677058,-0.1830103013368352,-0.013060096065999931,0.7362896419509933,0.4674790012512542,1.04603937185553,0.8442853755238707,0.10799573357287744
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Reasoning,22,Gemma3-4B,0.25355316858250637,0.48914232097699156,0.07291364626830396,-0.06344999009533245,0.3825636759823068,0.2355891523944852,-0.24721508967531336,0.8571428571428573,0.48914232097699156,0.25355316858250637
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Reasoning,22,Gemma3-27B,0.18679659638385918,0.6433216011884519,-0.1637149062525183,-0.2819752670504912,0.10901236647475443,0.4565250048045928,0.0,1.0000000000000002,0.6433216011884519,0.18679659638385918
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Reasoning,22,GPT-4o-mini,0.03914540465697784,0.8042729767151106,-0.13636363636363644,-0.2272727272727273,0.13636363636363633,0.7651275720581328,0.4666666666666667,1.102323863592263,0.8042729767151106,0.03914540465697784
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Reasoning,22,Qwen3-VL-8B,0.07241738612682345,0.7942095861863651,-0.09872159090909091,-0.23508522727272724,0.18181818181818182,0.7217922000595416,0.4550461446859184,1.0,0.7942095861863651,0.07241738612682345
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Reasoning,22,Qwen3-VL-30B,0.04367979914888076,0.8134174895273553,-0.12624343736536478,-0.2727272727272727,0.18181818181818182,0.7697376903784745,0.4666666666666667,1.1616433858451147,0.8134174895273553,0.04367979914888076
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Understanding,121,Gemma3-4B,0.1345722225064751,0.4795625290459732,-0.07435635216341288,-0.16144019826653927,0.014881253506668309,0.3449903065394981,0.1225085937471843,0.6035972457752025,0.4795625290459732,0.1345722225064751
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Understanding,121,Gemma3-27B,0.21713391807106636,0.5134833270299209,-0.08142647698637195,-0.16704585512880024,0.004361642991444974,0.2963494089588546,0.14457839970559547,0.4501181555533106,0.5134833270299209,0.21713391807106636
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Understanding,121,GPT-4o-mini,0.10204062383418802,0.6398284561889453,-0.1706433549601174,-0.24481191993466728,-0.09960668900324722,0.5377878323547574,0.37450444030795155,0.7078675386620515,0.6398284561889453,0.10204062383418802
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Understanding,121,Qwen3-VL-8B,0.18027181738674206,0.5710971603595894,-0.04594411454377839,-0.12684529024694488,0.03679100343530641,0.3908253429728473,0.21889367735360737,0.5566644653330224,0.5710971603595894,0.18027181738674206
layout + plain_text,layout,plain_text,S_plain_text - S_layout,Understanding,121,Qwen3-VL-30B,0.16391164430702002,0.5946989402222826,-0.08448248972534794,-0.17414337142950218,0.01017887189578249,0.43078729591526266,0.2779370053006572,0.5860018736634955,0.5946989402222826,0.16391164430702002
layout + table,layout,table,S_table - S_layout,Locating,126,Gemma3-4B,0.1866771327819001,0.5190453773495883,0.008312512638605898,-0.031279688882057906,0.10293424615758538,0.3323682445676882,-0.04719846738992237,0.7156248886853518,0.5190453773495883,0.1866771327819001
layout + table,layout,table,S_table - S_layout,Locating,126,Gemma3-27B,-0.189378483904278,0.9737625193246024,-0.013944537180195338,-0.04867948843738782,0.06871269266064838,1.1631410032288805,0.9351461529455519,1.469621688923727,0.9737625193246024,-0.189378483904278
layout + table,layout,table,S_table - S_layout,Locating,126,GPT-4o-mini,-0.017613948066859546,0.8936291487444514,0.019963496289733734,-0.012101192530110114,0.09797462440184586,0.911243096811311,0.7677922566920861,1.0570198770811818,0.8936291487444514,-0.017613948066859546
layout + table,layout,table,S_table - S_layout,Locating,126,Qwen3-VL-8B,0.03698657745168924,0.8492984766059665,0.021144854077975256,-0.02378782952836516,0.10801479336481078,0.8123118991542773,0.6388562296322645,0.9962198691633108,0.8492984766059665,0.03698657745168924
layout + table,layout,table,S_table - S_layout,Locating,126,Qwen3-VL-30B,-0.003432689081475583,0.8854587026157424,-0.00393779718339185,-0.05939748427147345,0.09437391426556908,0.888891391697218,0.694740211959469,1.1038041391440343,0.8854587026157424,-0.003432689081475583
layout + table,layout,table,S_table - S_layout,Reasoning,4,Gemma3-4B,,,,,,,,,,
layout + table,layout,table,S_table - S_layout,Reasoning,4,Gemma3-27B,,,,,,,,,,
layout + table,layout,table,S_table - S_layout,Reasoning,4,GPT-4o-mini,,,,,,,,,,
layout + table,layout,table,S_table - S_layout,Reasoning,4,Qwen3-VL-8B,0.16666666666666666,0.5,0.75,0.75,1.75,0.33333333333333337,0.0,1.0,0.5,0.16666666666666666
layout + table,layout,table,S_table - S_layout,Reasoning,4,Qwen3-VL-30B,-0.25,0.75,0.25,0.25,0.75,1.0,1.0,1.0,0.75,-0.25
layout + table,layout,table,S_table - S_layout,Understanding,20,Gemma3-4B,0.13567397711293888,0.3837257373764699,-0.020156989301660835,-0.02419354838709678,0.21614623634174376,0.24805176026353104,-18.380394493614595,1.0,0.3837257373764699,0.13567397711293888
layout + table,layout,table,S_table - S_layout,Understanding,20,Gemma3-27B,-0.0016637105113703273,0.703316106158998,0.09944235834741098,0.10948395269893499,0.34354838709677415,0.7049798166703684,0.12331592016108706,1.0,0.703316106158998,-0.0016637105113703273
layout + table,layout,table,S_table - S_layout,Understanding,20,GPT-4o-mini,0.09688343896013155,0.7798558154596643,-0.02236261095349744,-0.09372624731713386,0.3012527492668622,0.6829723764995328,0.01372281336987119,1.3233875063484002,0.7798558154596643,0.09688343896013155
layout + table,layout,table,S_table - S_layout,Understanding,20,Qwen3-VL-8B,-0.08035456632679198,0.9650704718689115,-0.012798637705401225,-0.01576829004214389,0.2220303476632575,1.0454250381957035,0.830054236394913,1.431073260626603,0.9650704718689115,-0.08035456632679198
layout + table,layout,table,S_table - S_layout,Understanding,20,Qwen3-VL-30B,0.0033323120923083056,0.8851694300679704,-0.02424684385661323,-0.03889651892400642,0.22094748100284795,0.8818371179756621,0.4443008107002426,1.259900203846083,0.8851694300679704,0.0033323120923083056
