benchmark,modality_pair,comparison,model,n_documents,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
LongDocURL,image + table,S_table - S_image,Gemma3-4B,50,0.23975693447005703,0.1477645364789153,0.5948992377643341,-1.1867612971610955,0.9307666059624867,False,positive,-0.005786666928303038,0.016791384344175975,0.030730540497921698,-0.04060199219374697,0.08142991754180243,False,negative
LongDocURL,image + table,S_table - S_image,Gemma3-27B,50,0.10434808669219131,0.13735234937174867,0.27926365242011253,-0.2951737812957576,0.7641098960281305,False,positive,-0.01068305074034626,0.007097899536711763,0.05346049634914874,-0.09796236291884383,0.11240371561279652,False,negative
LongDocURL,image + table,S_table - S_image,GPT-4o-mini,50,-0.08265646820918948,-0.0746262038595023,0.0736151545230404,-0.20363047183518818,0.08705613507868223,False,negative,0.23289763582552012,0.25607249771847657,0.04595946705332767,0.17052666894627516,0.3511478547022848,True,positive
LongDocURL,image + table,S_table - S_image,Qwen3-VL-8B,50,0.0587183092746576,0.061384724978702204,0.07817777807301668,-0.08813416677659447,0.2202354775382942,False,positive,-0.011338754743934382,0.012589344512028524,0.035747737510519115,-0.05477575511735245,0.08693251884132122,False,negative
LongDocURL,image + table,S_table - S_image,Qwen3-VL-30B,50,0.16885656021998596,0.1785147407351023,0.11521721534871106,-0.027531337223028276,0.4256251194845912,False,positive,-0.01389105373764692,0.009067758198800081,0.052702028245435635,-0.0907056507977709,0.11613278777922147,False,negative
LongDocURL,layout + plain_text,S_plain_text - S_layout,Gemma3-4B,131,0.35989454621141304,0.364895372471641,0.08809345632815523,0.20468327041171328,0.5519818405179012,True,positive,-0.03914877629595487,-0.03853930554875804,0.02451881497845522,-0.0859795519956412,0.010471312771409795,False,negative
LongDocURL,layout + plain_text,S_plain_text - S_layout,Gemma3-27B,131,0.34235069362383086,0.34640117555288735,0.08239229133753986,0.19000062418744357,0.513226248725569,True,positive,-0.02985773867631819,-0.029107505381867464,0.028837664197485673,-0.0850699610638551,0.02777750304482731,False,negative
LongDocURL,layout + plain_text,S_plain_text - S_layout,GPT-4o-mini,131,0.6123866549029447,0.6143868933262777,0.07026857147578378,0.4780719724632495,0.7543957822517707,True,positive,-0.10139837351528613,-0.10075740896062217,0.03167416420316432,-0.1628212159318524,-0.03876455767362856,True,negative
LongDocURL,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-8B,131,0.5503980242038283,0.5522370726455136,0.06635018287458576,0.4246059923561464,0.6858697129720692,True,positive,-0.04827300364087328,-0.04790375012896567,0.03084279306564919,-0.10774870001926694,0.01346352247597518,False,negative
LongDocURL,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-30B,131,0.5743993613239741,0.5771131699336632,0.07710731937999488,0.428653374229892,0.7321331095491833,True,positive,-0.11134112643818816,-0.11076738703226445,0.03125416110953138,-0.1718369314947052,-0.04915649002976695,True,negative
LongDocURL,layout + table,S_table - S_layout,Gemma3-4B,60,0.32316917983793275,0.2848607356860632,0.26834188085006666,-0.3428168842889585,0.7049909971551453,False,positive,-0.0023717546237924866,0.0424418798684323,0.04402552940799903,-0.024316689982134904,0.14970420351564415,False,negative
LongDocURL,layout + table,S_table - S_layout,Gemma3-27B,60,1.1052813754287545,1.1129549989721697,0.14933124562759997,0.845660686252654,1.4347686507694979,True,positive,-0.005121096785042599,0.04043733034477688,0.04628487873911694,-0.03474735399486537,0.14908507322932077,False,negative
LongDocURL,layout + table,S_table - S_layout,GPT-4o-mini,60,0.8730119228726998,0.8693909104881549,0.0868368914059024,0.6839301744359555,1.0263824841082796,True,positive,0.007120988756243347,0.05226929905337491,0.042939306186107605,-0.019164513386250366,0.15146838789668163,False,positive
LongDocURL,layout + table,S_table - S_layout,Qwen3-VL-8B,60,0.8228277083771154,0.8217968032091715,0.08293871108393114,0.6559484135775243,0.9814786922038887,True,positive,0.022721859064779144,0.06828415446089009,0.04302075256666231,-0.01040484443101056,0.15868485903371912,False,positive
LongDocURL,layout + table,S_table - S_layout,Qwen3-VL-30B,60,0.8918707036992686,0.8936740648291792,0.09481562612742109,0.7056858733594352,1.0811646012340195,True,positive,-0.013207328814930967,0.03176041732007102,0.039318866172701895,-0.0359862916592897,0.11830228616867403,False,negative
LongDocURL,plain_text + table,S_table - S_plain_text,Gemma3-4B,39,-0.028537127083562375,-0.03355874423676079,0.23357968483534053,-0.5066082578150432,0.4209867597570228,False,negative,-0.2579066913716245,-0.25242581924395113,0.09634184323968495,-0.4434908331418016,-0.06608148491544169,True,negative
LongDocURL,plain_text + table,S_table - S_plain_text,Gemma3-27B,39,-0.03470365887580662,-0.03909543095532705,0.13951836827012357,-0.3258718030636783,0.2243736435950844,False,negative,-0.12106450142653312,-0.11444484973471286,0.08354505057198523,-0.27614112867050333,0.05220906279850138,False,negative
LongDocURL,plain_text + table,S_table - S_plain_text,GPT-4o-mini,39,-0.004323883044709986,-0.005135746545812877,0.13634381801913642,-0.2717348904758975,0.2632672915779667,False,negative,-0.34267960694720073,-0.3337696813234532,0.09063248189336882,-0.49582161214983067,-0.1417787088551946,True,negative
LongDocURL,plain_text + table,S_table - S_plain_text,Qwen3-VL-8B,39,0.2462811661727588,0.24358557849071458,0.12130544831784658,0.000766283172179954,0.477219700358847,True,positive,-0.2314397957725553,-0.22241742320207367,0.08013127403599662,-0.3737770356619073,-0.05926025041365313,True,negative
LongDocURL,plain_text + table,S_table - S_plain_text,Qwen3-VL-30B,39,0.1027844816281111,0.1006876448757919,0.10084410816368772,-0.10118230769235359,0.2954937053900656,False,positive,-0.24332316716769048,-0.23295539293582918,0.1064861843395978,-0.436916497280036,-0.019999277395526455,True,negative
MMLongBench-Doc,image + layout,S_layout - S_image,Gemma3-4B,28,-0.7083333333333335,-0.8638125750232555,0.9088336825143553,-3.166666666666667,0.3333333333333335,False,negative,0.046099290780141834,0.07320838424448163,0.07626391608871436,-0.06818181818181818,0.23263888888888887,False,positive
MMLongBench-Doc,image + layout,S_layout - S_image,Gemma3-27B,28,-0.7073170731707318,-0.7721599726802291,0.49694188827057306,-1.8823529411764708,0.0,False,negative,0.10638297872340426,0.13330521572380677,0.06695534968679383,0.017543859649122792,0.2727272727272727,True,positive
MMLongBench-Doc,image + layout,S_layout - S_image,GPT-4o-mini,28,-1.1214285714285714,-1.1583504788583736,0.25578922367221774,-1.7662337662337662,-0.9238095238095239,True,negative,0.08915906788247215,0.11600563448629272,0.03764489167509638,0.05660377358490565,0.20423280423280424,True,positive
MMLongBench-Doc,image + layout,S_layout - S_image,Qwen3-VL-8B,28,-1.75,-2.005317767079358,1.201294030693813,-5.0,-0.49999999999999994,True,negative,0.04255319148936171,0.06907621470474361,0.07613225901944876,-0.07142857142857145,0.22916666666666666,False,positive
