benchmark,modality_pair,comparison,model,n_questions_original,n_resampled_mean,n_resampled_std,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
Pooled-Unstratified-GlobalPool,image + table,S_table - S_image,Gemma3-27B,180,180.00291,12.180508262461792,0.23743868253904604,0.24151349378494083,0.17422424120230845,-0.0859428265848813,0.6018799401424827,False,positive,-0.00973344623009324,0.006149747261908642,0.03531999078082933,-0.0629358165692705,0.07556347040124788,False,negative
Pooled-Unstratified-GlobalPool,image + table,S_table - S_image,GPT-4o-mini,180,180.00291,12.180508262461792,-0.04375876951535368,-0.04401942546486241,0.07144501599830179,-0.18518969073038066,0.09606558812332562,False,negative,0.20664006819658504,0.22238707169111024,0.033634343520065786,0.15751630007145118,0.2893084872728246,True,positive
Pooled-Unstratified-GlobalPool,image + table,S_table - S_image,Qwen3-VL-8B,180,180.00291,12.180508262461792,0.08917129278300945,0.08883237827231305,0.11432375543123546,-0.13793150744300178,0.31125276497408244,False,positive,-0.01835555679138706,-0.0024360042455010586,0.03317693569736944,-0.06701697379636863,0.06310034507009,False,negative
Pooled-Unstratified-GlobalPool,image + table,S_table - S_image,Qwen3-VL-30B,180,180.00291,12.180508262461792,0.19473616862946108,0.1951042009131027,0.10473739592653401,-0.010230206894311667,0.4017722366607373,False,positive,-0.012656293405411686,0.0031342348346764426,0.03458597700339796,-0.065168913829888,0.07072924101419369,False,negative
Pooled-Unstratified-GlobalPool,layout + plain_text,S_plain_text - S_layout,Gemma3-4B,296,295.98506,14.549984769627768,0.3858100527884347,0.38909559895334356,0.10094280308805152,0.2005129857739401,0.5965777258180466,True,positive,-0.05392451811779518,-0.05390061162054474,0.027248933494817995,-0.10770170564019196,-0.0009353814320632515,True,negative
Pooled-Unstratified-GlobalPool,layout + plain_text,S_plain_text - S_layout,Gemma3-27B,296,295.98506,14.549984769627768,0.3485573702975576,0.3494858531243293,0.0684836199019085,0.21638091690500574,0.4860883785995417,True,positive,-0.02824380685597662,-0.02829542961518406,0.027560661343627897,-0.0828119990101364,0.025438648044174516,False,negative
Pooled-Unstratified-GlobalPool,layout + plain_text,S_plain_text - S_layout,GPT-4o-mini,296,295.98506,14.549984769627768,0.6264940299029063,0.6276270204404842,0.06018491150058612,0.5111306229700084,0.7469314725851023,True,positive,-0.10267413710905447,-0.10265352648705453,0.02831770122890343,-0.15816151966789624,-0.047128280092335086,True,negative
Pooled-Unstratified-GlobalPool,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-8B,296,295.98506,14.549984769627768,0.5659596517845508,0.5663570828748438,0.05684552737948721,0.4546776766428905,0.6784841803767364,True,positive,-0.05242040884947462,-0.05248662923311479,0.02816622560627227,-0.10770372542013114,0.002767575250902235,False,negative
Pooled-Unstratified-GlobalPool,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-30B,296,295.98506,14.549984769627768,0.574238393500821,0.5750487578906892,0.06651371873980631,0.4473719076445808,0.7074739835426963,True,positive,-0.10194430879288068,-0.10200098267693065,0.030259328333311845,-0.16136262274587856,-0.04270058809673854,True,negative
Pooled-Unstratified-GlobalPool,layout + table,S_table - S_layout,Gemma3-4B,159,159.01046,11.627527277473916,0.38914988773795717,0.38522652907733546,0.17886840160486173,0.020555736067678125,0.7258618041911419,True,positive,-0.023061085563008073,-0.008280804468990276,0.03113066521815643,-0.06628130920688043,0.057919589290482625,False,negative
Pooled-Unstratified-GlobalPool,layout + table,S_table - S_layout,Gemma3-27B,159,159.01046,11.627527277473916,1.0986656638983419,1.1063278071235287,0.12862923997601158,0.8747894775257719,1.3828860920272483,True,positive,-0.016926046797693793,-0.0020399491045596362,0.025659691883484662,-0.049724763369078266,0.05192556303613126,False,negative
Pooled-Unstratified-GlobalPool,layout + table,S_table - S_layout,GPT-4o-mini,159,159.01046,11.627527277473916,0.8553540601511783,0.8562323168768721,0.07997766055253075,0.6969295589378601,1.0118149713100075,True,positive,0.013007222097084832,0.027895531059061906,0.025665621359998024,-0.020232044168573212,0.08088692817761765,False,positive
Pooled-Unstratified-GlobalPool,layout + table,S_table - S_layout,Qwen3-VL-8B,159,159.01046,11.627527277473916,0.7906471847019678,0.7922562687337386,0.0796628196805001,0.6362184606618547,0.9494766280733756,True,positive,0.02143571609884832,0.0363542973549118,0.030113908374094528,-0.021377378061179713,0.09691195370716846,False,positive
Pooled-Unstratified-GlobalPool,layout + table,S_table - S_layout,Qwen3-VL-30B,159,159.01046,11.627527277473916,0.8621354219084707,0.8639702166972506,0.08640645903660102,0.698277559354602,1.037856680629214,True,positive,0.00011887218717211018,0.015131023772674307,0.03315903953653811,-0.04820262214217689,0.08199450941352443,False,positive
Pooled-Unstratified-GlobalPool,plain_text + table,S_table - S_plain_text,Gemma3-4B,91,90.99287,9.139761439069403,0.09008872539011287,0.08392741017256297,0.2147053690731476,-0.3588011553003377,0.4910850152018178,False,positive,-0.18403701126856425,-0.17815803524636062,0.06620157363976942,-0.3070546358308684,-0.048291788587848494,True,negative
Pooled-Unstratified-GlobalPool,plain_text + table,S_table - S_plain_text,Gemma3-27B,91,90.99287,9.139761439069403,0.1675070699634325,0.16789563097771018,0.13202042606737216,-0.09276238735918999,0.4266099820778674,False,positive,-0.08141261075230015,-0.07578285345918181,0.0591440386649653,-0.19084978221677426,0.04144784328269571,False,negative
Pooled-Unstratified-GlobalPool,plain_text + table,S_table - S_plain_text,GPT-4o-mini,91,90.99287,9.139761439069403,0.12781629075716744,0.12788347161967972,0.12046199477776784,-0.11108772796715745,0.363379927354342,False,positive,-0.2291689163636158,-0.2235789064423091,0.06218830753928544,-0.3423544091376337,-0.09810313283910138,True,negative
Pooled-Unstratified-GlobalPool,plain_text + table,S_table - S_plain_text,Qwen3-VL-8B,91,90.99287,9.139761439069403,0.25402524345324207,0.2539692621528992,0.10886197442253663,0.03725184634560161,0.46446567264838545,True,positive,-0.1446888875548411,-0.13917174451079053,0.053404179486191965,-0.24427727071343094,-0.034476672379914516,True,negative
Pooled-Unstratified-GlobalPool,plain_text + table,S_table - S_plain_text,Qwen3-VL-30B,91,90.99287,9.139761439069403,0.12823783809255557,0.1284593621145797,0.10009111714831513,-0.06656243960306749,0.3265419840442825,False,positive,-0.17603448165479796,-0.17047772722770188,0.0678486573627008,-0.3026332314465265,-0.03669401628362804,True,negative
